Name,Manufacturer,Actual Price,Discounted Price
Folitrax 25mg Injection 1ml,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,61.65,61.65
Folitrax 25mg Tablet 4'S,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,279.2,279.2
Folitrax 50mg Injection 2ml,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,112.16,112.16
Folitrax 5mg Tablet 10'S,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,88,98.91
Folitrax 7.5mg Injection 1ml,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,46.45,46.45
Folitrax 7.5mg Tablet 10'S,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,148.45,148.45
FOLLETRO Tablet 5's,* Mkt: UNIZA HEALTHCARE LLP * Delivery charges if applicable will be applied at checkout,146.44,146.44
FOSUP 150 Injection 1's,* Mkt: Cadila Healthcare Ltd (Zydus) * Delivery charges if applicable will be applied at checkout,2634.2,2898
Fulvenat 250mg Injection 1's,* Mkt: Natco Pharma Ltd * Delivery charges if applicable will be applied at checkout,14600,12229.66
FOLLETRO 5 Tablet 5's,* Mkt: UNIZA HEALTHCARE LLP * Delivery charges if applicable will be applied at checkout,239,239
FULZOS 250 Prefilled Syringe(Pfs) 5ml,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,17600,17600
BORTETHER 2 Injection 1's,* Mkt: Therdose Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,5252,5252
B GLOW LITE Soap 75gm,* Mkt: Rely On Pharmaceuticals * Delivery charges if applicable will be applied at checkout,165,165
BELGLOW Soap 75gm,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,199,199
BELLISSA BABY Soap 75gm,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,175,175
BEPEROX CLEANSING Bar 75gm,* Mkt: Caryota Lifesciences India Pvt Ltd * Delivery charges if applicable will be applied at checkout,155,155
BEZOXID Soap 75gm,* Mkt: CORNEUM BIOTECH * Delivery charges if applicable will be applied at checkout,120,120
BIOCHEMS NEEM Soap 75gm,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,97.25,97.25
BIOCUTIS Face Wash 100ml,* Mkt: Syscutis Healthcare * Delivery charges if applicable will be applied at checkout,329,329
Blise Face Wash Gel 100gm,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,389,389
BRILANTE INTENSE BRIGHTENING Cleanser 50ml,* Mkt: Regaliz Medicare Ltd * Delivery charges if applicable will be applied at checkout,689,689
BRILANTE INTENSE BRIGHTENING Cleanser 100ml,* Mkt: Regaliz Medicare Ltd * Delivery charges if applicable will be applied at checkout,599,599
BUBBLEBATH BABY Bathing Bar 75gm,* Mkt: MATRIX PHARMA CHEM (INDIA) PVT LTD * Delivery charges if applicable will be applied at checkout,160,160
BELLISSA Soap 75gm,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,159,159
BUBBLEWASH Face Wash 100ml,* Mkt: Dermajoint India * Delivery charges if applicable will be applied at checkout,690,690
Fair Lite Skin Lightening Face Wash 90ml,* Mkt: Palsons Derma Pvt Ltd * Delivery charges if applicable will be applied at checkout,499,499
FAIRLITE Face Wash 90ml,* Mkt: Palsons Derma Pvt Ltd * Delivery charges if applicable will be applied at checkout,499,499
FASH Pads 30's,* Mkt: Curatio Health Care (I) Pvt Ltd * Delivery charges if applicable will be applied at checkout,290,290
Fash Foam Face wash 100ml,* Mkt: Curatio Health Care (I) Pvt Ltd * Delivery charges if applicable will be applied at checkout,425,425
FASH OS Gel Face Wash 100ml,* Mkt: Curatio Health Care (I) Pvt Ltd * Delivery charges if applicable will be applied at checkout,350,350
Fash X Gel Face Wash 200gm,* Mkt: Curatio Health Care (I) Pvt Ltd * Delivery charges if applicable will be applied at checkout,475,475
FASH X NEW Gel 100ml,* Mkt: Curatio Health Care (I) Pvt Ltd * Delivery charges if applicable will be applied at checkout,300,300
Femcinol OS Face Wash 70ml,* Mkt: Fem Care Pharma Ltd * Delivery charges if applicable will be applied at checkout,250,225
FAB U GLO SKIN REJUVENATING FACE WASH Gel 100gm,* Mkt: Amwill Healthcare * Delivery charges if applicable will be applied at checkout,250,250
FAIRSHIELD SKIN LIGHTENING Face Wash 100gm,* Mkt: Inex Medicaments Pvt Ltd * Delivery charges if applicable will be applied at checkout,444,444
FAIRSHIELD SKIN WHITENING Face Wash 100gm,* Mkt: Inex Medicaments Pvt Ltd * Delivery charges if applicable will be applied at checkout,444,444
B GLOW RADIANCE Face Wash 75gm,* Mkt: Rely On Pharmaceuticals * Delivery charges if applicable will be applied at checkout,210,210
BIOCIL MPS (MINT) Suspension 170ml,* Mkt: Cadila Healthcare Ltd (Zydus) (Generics) * Delivery charges if applicable will be applied at checkout,117.8,82.46
BIOFFIN Suspension 170ml,* Mkt: German Remedies Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,126.6,88.62
BIOLAX Syrup 100ml,* Mkt: MAXIS PHARMACEUTICALS * Delivery charges if applicable will be applied at checkout,72,72
BISFLOW Tablet 10's,* Mkt: SMART LABORATORIES PVT LTD * Delivery charges if applicable will be applied at checkout,10,10
Bowlease Syrup 60ml,* Mkt: Lark Laboratories India Ltd * Delivery charges if applicable will be applied at checkout,78.12,78.12
BULKOBEST LEMON FLAVOR Oral Solution 160ml,* Mkt: TAS MED INDIA PVT LTD * Delivery charges if applicable will be applied at checkout,459.8,459.8
BISACOLAX 5 Tablet 10's,* Mkt: Helios Laboratories * Delivery charges if applicable will be applied at checkout,10.82,7.57
BOWMUV ADDED PINEAPPLE FLAVOUR Sachet 7's,* Mkt: Inzpera Healthsciences Ltd * Delivery charges if applicable will be applied at checkout,185,185
Fabolite Sugar Free Delicious Orange Flavour Powder 100gm,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,192,192
Fabolite Sugar Free Delicious Orange Flavour Powder 300gm,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,481,481
Fibadiet 8.5% Powder 50gm,* Mkt: Glaxosmithkline Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,39.98,39.98
Fiberlact Granules 90gm,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,271,271
Fitgut 1mg Tablet 10'S,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,149,149
FLEXIGUT Solution 100ml,* Mkt: Bacans Biotech Private Limited * Delivery charges if applicable will be applied at checkout,120,120
FLEXIGUT Solution 200ml,* Mkt: Bacans Biotech Private Limited * Delivery charges if applicable will be applied at checkout,230,230
Freego Granule 150gm,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,380.2,380.2
Freego Granules 90gm,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,259,259
FREEGO PEG SUGAR FREE Oral Solution 200ml,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,354.4,354.4
FREELAC ORANGE LEMON FLAVOUR Granules 90gm,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,225,157.5
Freelex Mint Flavour Suspension 170ml,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,115,80.5
Freelex 5mg Tablet 10'S,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,12.95,9.07
Freelex Plus Suspension 170ml,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,125,87.5
FENOLAX Chewable Tablet 10's,* Mkt: Franklin Laboratories (India) Pvt Ltd * Delivery charges if applicable will be applied at checkout,30,30
FENOLEX 300 Tablet 10's,* Mkt: Franklin Laboratories (India) Pvt Ltd * Delivery charges if applicable will be applied at checkout,30,30
FIBOPEG ORANGE FLAVOUR NO ADDED SUGAR Granules 154.8gm,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,294,294
Femilon Tablet 21'S,* Mkt: Abbott India Ltd * Delivery charges if applicable will be applied at checkout,300,300
Femovan Tablet 21'S,* Mkt: Bayer Zydus Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,283.4,283.4
FLORINA Tablet 21's,* Mkt: Unicure Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,68.49,68.49
FLORINA L Tablet 21's,* Mkt: Unicure Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,125,125
Freedase 30 Tablet 21's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,520,520
BACANTUS Syrup 100ml,* Mkt: Bacans Biotech Private Limited * Delivery charges if applicable will be applied at checkout,100,100
BANOCOF SUGAR FREE Syrup 100ml,* Mkt: Aareen Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,69.9,69.9
BARKEIT Tablet 10's,* Mkt: Sanzyme Pvt Ltd * Delivery charges if applicable will be applied at checkout,114.4,114.4
BECOFDRYL Syrup 100ml,* Mkt: MENDBRISK PHARMACEUTICALS PVT LTD * Delivery charges if applicable will be applied at checkout,95,95
Benadryl Cough Formula Syrup 150ml,* Mkt: Johnson & Johnson Pvt Ltd * Delivery charges if applicable will be applied at checkout,141,126.9
Benadryl Cough Formula Syrup 50ml,* Mkt: Johnson & Johnson Pvt Ltd * Delivery charges if applicable will be applied at checkout,72,64.8
Benadryl Cough Formula Syrup 450ml,* Mkt: Johnson & Johnson Pvt Ltd * Delivery charges if applicable will be applied at checkout,251,225.9
Benadryl DR Dry Cough Active Relief Syrup 50ml,* Mkt: Johnson & Johnson Pvt Ltd * Delivery charges if applicable will be applied at checkout,75,67.5
Benadryl DR Dry Cough Active Relief Syrup 100ml,* Mkt: Johnson & Johnson Pvt Ltd * Delivery charges if applicable will be applied at checkout,123,110.7
BENADRYL DR KIDS MIXED FRUIT FLAVOUR Syrup 100ml,* Mkt: Johnson & Johnson Pvt Ltd * Delivery charges if applicable will be applied at checkout,84,71.4
Bentamin AP Syrup 100ml,* Mkt: Intra Labs India Pvt Ltd * Delivery charges if applicable will be applied at checkout,55,55
BENZ PEARLS Capsule 10's,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,88.6,88.6
Beridil Syrup 100ml,* Mkt: Viilbery Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,72,72
BINGO DX Syrup 60ml,* Mkt: NEXTGEN HEALTH CARE * Delivery charges if applicable will be applied at checkout,57,57
BINGO X Cough Syrup 100ml,* Mkt: NEXTGEN HEALTH CARE * Delivery charges if applicable will be applied at checkout,82,82
BIOCHEMDRYL Syrup 100ml,* Mkt: Cadila Healthcare Ltd (Zydus) (Generics) * Delivery charges if applicable will be applied at checkout,126.6,88.62
BIOCHEMDRYL Syrup 60ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,85,82.3
BIOCHEMDRYL Capsule 10's,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,47.9,47.9
BIOCHEMDRYL CR Syrup 100ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,135.35,135.35
BIOCHEMDRYL DR Syrup 100ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,115.55,115.55
BIOCOF BLUE Syrup 60ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,63.8,63.8
BIOCOF JUNIOR Syrup 60ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,58.3,58.3
BIOCOF NEW Syrup 100ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,107.1,107.1
BIOKOF Syrup 100ml,* Mkt: Biovitamins Private Limited * Delivery charges if applicable will be applied at checkout,90,90
BIOKOF D Syrup 100ml,* Mkt: Biovitamins Private Limited * Delivery charges if applicable will be applied at checkout,108,99
BIOKOF LS Expectorant 100ml,* Mkt: Biovitamins Private Limited * Delivery charges if applicable will be applied at checkout,108,108
BIOREX DX Syrup 60ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,120,69.45
Blukof Syrup 100ml,* Mkt: Alkem Laboratories Ltd * Delivery charges if applicable will be applied at checkout,89,89
Breakuf Blue Syrup 100ml,* Mkt: Lupin Ltd (Generics) * Delivery charges if applicable will be applied at checkout,28.25,28.25
Breakuf Red Syrup 100ml,* Mkt: Lupin Ltd (Generics) * Delivery charges if applicable will be applied at checkout,75,95.65
Breathair Plus Syrup 60ml,* Mkt: Embiotic Laboratories Pvt Ltd * Delivery charges if applicable will be applied at checkout,37.4,37.4
BREZVENT Syrup 100ml,* Mkt: UVB Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,105,105
BRICALET Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,49.5,49.5
Bricarex A Syrup 100ml,* Mkt: Zydus Healthcare Ltd * Delivery charges if applicable will be applied at checkout,109.7,109.7
Bricarex A Sugar Free Apple Flavour Expectorant 100ml,* Mkt: Cadila Healthcare Ltd (Zydus) * Delivery charges if applicable will be applied at checkout,109.7,109.7
BRICAREX DX Syrup 100ml,* Mkt: Cadila Healthcare Ltd (Zydus) * Delivery charges if applicable will be applied at checkout,120,100.25
Briovent Syrup 60ml,* Mkt: Brio Bliss Life Science Pvt Ltd * Delivery charges if applicable will be applied at checkout,72,72
BRIOVENT LS Syrup 100ml,* Mkt: Brio Bliss Life Science Pvt Ltd * Delivery charges if applicable will be applied at checkout,72,72
BRO Zedex Expectorant 100ml,* Mkt: Dr. Reddy's Laboratories Ltd * Delivery charges if applicable will be applied at checkout,156.75,156.75
BRO Zedex LS Oral Drops 15ml,* Mkt: Dr. Reddy's Laboratories Ltd * Delivery charges if applicable will be applied at checkout,70.5,70.5
BRO Zedex LS + Expectorent 100ml,* Mkt: Wockhardt Limited * Delivery charges if applicable will be applied at checkout,159.75,159.75
BRO ZEDEX LS 0.5 RASPBERRY FLAVOUR Expectorant 60ml,* Mkt: Dr. Reddy's Laboratories Ltd * Delivery charges if applicable will be applied at checkout,72.5,72.5
Bro Zedex LS Kid Raspberry Flavour Expectorant 60ml,* Mkt: Dr. Reddy's Laboratories Ltd * Delivery charges if applicable will be applied at checkout,118.25,118.25
Brodil Expectorant 60ml,* Mkt: Vanguard Therapeutics Pvt Ltd * Delivery charges if applicable will be applied at checkout,95.61,95.61
Brodil Expectorant 100ml,* Mkt: Vanguard Therapeutics Pvt Ltd * Delivery charges if applicable will be applied at checkout,75.92,75.92
BROGIKOFF Syrup 100ml,* Mkt: Viwacure Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,110,110
Brohex 4mg Syrup 100ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,74.85,74.85
BROKUF BLUE Syrup 100ml,* Mkt: Maxx Farmacia India Llp (Generics) * Delivery charges if applicable will be applied at checkout,115,80.5
BROKUF DM Syrup 100ml,* Mkt: Maxx Farmacia India Llp (Generics) * Delivery charges if applicable will be applied at checkout,110,77
BROMEX PLUS Expectorant 100ml,* Mkt: Reliance Formulation Pvt Ltd * Delivery charges if applicable will be applied at checkout,65,65
Bromhexine Elixir 120ml,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,143,143
Bromhexine Tablet 10'S,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,61.1,61.1
Bronac 600mg Tablet 10'S,* Mkt: Healers Nutraceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,190,190
Broncho D Syrup 100ml,* Mkt: Alar Laboratories Pvt Limited * Delivery charges if applicable will be applied at checkout,36,36
BRONCOCET AM Syrup 60ml,* Mkt: Seagull Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,42.86,42.86
BRONCOLITE A Drops 15ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,68.95,68.95
BRONCOLITE A Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,118.25,118.25
BRONCOLITE A Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,78.95,78.95
BRONCOLITE AC Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,115,115
BRONCOLITE AL Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,195,195
BRONCOLITE AMC Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,199,199
BRONCOLITE AMF Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,195,195
BRONCOLITE AX Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,115,115
BRONCOLITE AX Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,95,95
BRONCOLITE LS Drops 15ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,70,70.5
BRONCOLITE LS Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,110,84.4
BRONCOLITE LS Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,118.9,118.9
BRONCOREST D Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,115,115
BRONKOLYTE DC Syrup 100ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,46.15,46.15
BRONKOLYTE DX Syrup 100ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,102.25,102.25
BRONKOLYTE LEVO Syrup 100ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,59,59
BRONKOLYTE LEVO PD Syrup 60ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,56,56
BRONKOLYTE PD Drops 15ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,38.1,38.1
BRONKOLYTE PD Syrup 60ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,74.5,74.5
BRONKOLYTE PLUS Syrup 100ml,* Mkt: Entod Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,49.5,49.5
BRONMIX SYRUP 100ML,* Mkt: Indo French Laboratories Ltd * Delivery charges if applicable will be applied at checkout,98,98
BRONXIL X Syrup 100ml,* Mkt: LUCIFER AND HESPER (INDIA) PRIVATE LIMITED * Delivery charges if applicable will be applied at checkout,85,85
BRORUB P Syrup 60ml,* Mkt: Cubit Healthcare * Delivery charges if applicable will be applied at checkout,33.5,33.5
Broxum LS Syrup 100ml,* Mkt: Eris Lifesciences Ltd * Delivery charges if applicable will be applied at checkout,103.72,103.72
BROXYL SF Cough Syrup 100ml,* Mkt: AUSTRO LABS LTD * Delivery charges if applicable will be applied at checkout,117,117
Brozeet New Syrup 100ml,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,100,121.9
Brozeet LS Expectorent 100ml,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,125.4,125.4
Brozeet SF Syrup 100ml,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,75,130.1
BRUTUS DX Syrup 100ml,* Mkt: Mdc Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,85,85
BUSOCORIL Syrup 60ml,* Mkt: Biochem Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,68.05,68.05
BUTABROM Tablet 10's,* Mkt: Rekvina Pharmaceuticals * Delivery charges if applicable will be applied at checkout,31,31
BUTADRYL SUGAR FREE STRAWBERRY FLAVOUR Syrup 100ml,* Mkt: Medley Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,141.75,141.75
BENATAG Syrup 100ml,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,112,112
BERIDIL LS NEW Expectorant 100ml,* Mkt: Viilbery Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,89,89
BRICAWIN 1.5mg Syrup 100ml,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,49.5,49.5
BRONCOLITE D Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,74.95,74.95
BRONCOLITE D Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,115,115
BRONCOLITE DX Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,118,118
BRONCOLITE DX Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,78.95,78.95
BRONCOLITE L Suspension 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,145
BRONCOLITE LS JUNIOR Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,75,82
BRONCOREST Softgel 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,69.5,69.5
BRONCOREST Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,53,53
BRONCOREST DX Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,118,118
BRONCOREST DX Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,78.95,78.95
BYE COLD Suspension 60ml,* Mkt: Oscar Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,90,90
FEBREX PLUS Syrup 60ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,89,89
Febrex Plus Delicious Rose Flavour Syrup 100ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,100.7,100.7
Febrex Plus Delicious Rose Flavour Syrup 60ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,82.5,82.5
Febrex Plus Drops 15ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,85,85
Febrex Plus Tablet 10'S,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,83.85,83.85
FEBREX PLUS DS Delicious Orange Flavour Suspension 60ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,93,93
FEBREX PLUS DS Suspension 60ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,102,102
FEBRINIL CF Suspension 60ml,* Mkt: Maneesh Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,72.44,72.44
FENORIDE Syrup 60ml,* Mkt: KENTRECK LABORATORIES PVT LTD * Delivery charges if applicable will be applied at checkout,38.97,38.97
FENORIDE DX Syrup 100ml,* Mkt: KENTRECK LABORATORIES PVT LTD * Delivery charges if applicable will be applied at checkout,63.37,63.37
FEXICOLD Tablet 10's,* Mkt: Salvador Visiontech * Delivery charges if applicable will be applied at checkout,35,35
FILPOL COLD Suspension 60ml,* Mkt: FILANT INDIA HEALTHCARE * Delivery charges if applicable will be applied at checkout,69,69
FILPOL COLD Syrup 60ml,* Mkt: FILANT INDIA HEALTHCARE * Delivery charges if applicable will be applied at checkout,75,75
FILPOL COLD Tablet 10's,* Mkt: FILANT INDIA HEALTHCARE * Delivery charges if applicable will be applied at checkout,69,69
FIXCOF LS JUNIOR Syrup 60ml,* Mkt: Emcure Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,65,65
Floramin AP Tablet 10'S,* Mkt: Bestochem Formulations Ind Ltd * Delivery charges if applicable will be applied at checkout,33.75,33.75
FLUCOL Suspension 60ml,* Mkt: Skn Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,60.5,60.5
Flucol 650mg Tablet 10'S,* Mkt: Skn Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,45,45
Flucold Drops 15ml,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,52.9,52.9
Flucold Syrup 60ml,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,66,60.5
Flucold Tablet 10'S,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,40.5,40.5
Flucold AF Drops 15ml,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,50.5,50.5
Flucold AF Syrup 60ml,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,60,80
FLUCOLD DS Suspension 60ml,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,70.1,70.1
Flucold P Drops 15ml,* Mkt: Wallace Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,34.25,34.25
Flucomb New Syrup 60ml,* Mkt: Indchemie Health Specialities Pvt Ltd * Delivery charges if applicable will be applied at checkout,58,58
Fluimucil Lemon Flavour Effervescent Tablet 6'S,* Mkt: Modi - Mundi Pharma Pvt. Ltd. * Delivery charges if applicable will be applied at checkout,240,167.4
Fluimucil 600mg Tablet 10'S,* Mkt: Modi - Mundi Pharma Pvt. Ltd. * Delivery charges if applicable will be applied at checkout,262,262
FLUOFF Syrup 60ml,* Mkt: Pfimaxx Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,85,58
FLUOFF Tablet 10's,* Mkt: Pfimaxx Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,52,52
FLUOFF D Syrup 100ml,* Mkt: Pfimaxx Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,85,85
FOUREX PLUS Suspension 60ml,* Mkt: AMAZING RESEARCH LABORATORIES LTD * Delivery charges if applicable will be applied at checkout,52,52
FRANKLOR Expectorant 450ml,* Mkt: Franklin Laboratories (India) Pvt Ltd * Delivery charges if applicable will be applied at checkout,220,220
Freecof AM Syrup 100ml,* Mkt: Hbc Lifesciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,69,69
Freecof D Syrup 100ml,* Mkt: Hbc Lifesciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,69,69
FLOREX Expectorant 100ml,* Mkt: FLOREAT MEDICA PVT LTD * Delivery charges if applicable will be applied at checkout,91.6,82.44
FLUNIM Tablet 10's,* Mkt: Nimbus Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,55,55
FRANKLOR CS Syrup 60ml,* Mkt: Franklin Laboratories (India) Pvt Ltd * Delivery charges if applicable will be applied at checkout,120,50
FRANKLOR CS Syrup 100ml,* Mkt: Franklin Laboratories (India) Pvt Ltd * Delivery charges if applicable will be applied at checkout,90,90
FRANKLOR A Tablet 10's,* Mkt: Franklin Laboratories (India) Pvt Ltd * Delivery charges if applicable will be applied at checkout,270,270
